seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,additional_height,notes,date
4330,6,2.8,,4,5.5,,02/07/2022
4019,12.5,4,11,,0.5,,02/07/2022
3834,6.1,2.7,,4,3,,02/07/2022
4397,5.8,2.9,,5,5.5,,02/07/2022
4379,5.3,2.9,,3,6,,02/07/2022
4063,5.2,7.4,23,,8,,02/07/2022
3859,5.1,2.8,,4,2.5,,02/07/2022
4046,7.6,3.4,7,,0,,02/07/2022
4410,7.8,3.1,,4,4.5,,02/07/2022
3261,4.5,2.5,,4,4.5,,02/07/2022
3568,18,5,9,,0,,02/07/2022
3842,4,3.2,,4,10.5,,02/07/2022
4311,5.3,2.9,,5,5,,02/07/2022
3327,2.9,2,,1,1,,02/07/2022
4221,6.8,3.1,,4,2,,02/07/2022
3549,10,4.2,10,,3.1,,02/07/2022
4343,6.2,2.1,,4,0,,02/07/2022
3583,6.9,4.2,8,,0,,02/07/2022
4152,8,3.5,19,,7.5,,02/07/2022
3563,5.5,4.9,7,,0,,02/07/2022
3757,6.1,2.6,,4,0.5,,02/07/2022
4271,5.9,2.2,,4,2.5,,02/07/2022
4297,4.6,3.1,,5,1.5,,02/07/2022
3128,4.5,4.8,8,,0,,02/07/2022
3845,5.7,3.3,,5,11,,02/07/2022
3484,10.5,4.4,14,,1,,02/07/2022
3497,7.5,3.6,9,,0,,02/07/2022
4249,4.8,2,,2,2.3,,02/07/2022
3124,11.5,6.3,8,,0,,02/07/2022
4060,8,5,17,,7.5,,02/07/2022
3498,7.5,3.2,11,,4,,02/07/2022
3835,4.6,2.5,,3,4,,02/07/2022
3735,5.5,2.4,,5,2.5,,02/07/2022
3748,6,2.4,,5,3,,02/07/2022
3738,5,2.2,,4,3.2,,02/07/2022
3252,5.2,2.3,,3,1.5,,02/07/2022
3475,5,2,,3,1,,02/07/2022
3873,6,2.2,,4,4,,02/07/2022
4035,8.6,4,8,,0,,02/07/2022
4321,6.4,2.7,,5,1,,02/07/2022
4095,6.8,4.4,11,,1,,02/07/2022
3519,9,4.5,6,,0,,02/07/2022
4218,6,2.5,,5,1,,02/07/2022
3723,3.8,1.5,,4,2.5,,02/07/2022
3250,4,2.8,,2,0,,02/07/2022
3438,3.5,1.7,,2,0,,02/07/2022
3898,4.5,2.4,,4,1.5,,02/07/2022
3339,3.6,1.6,,3,1.5,,02/07/2022
3556,10,5.2,12,,0.7,,02/07/2022
3893,4.5,2.3,,5,4,,02/07/2022
4277,3.8,2,,5,3,,02/07/2022
3901,4.5,1.8,,4,1.5,,02/07/2022
3860,6.3,2.8,,5,5,,02/07/2022
3999,9,4.3,18,,3,,02/07/2022
3440,4,2.7,,4,3,,02/07/2022
3854,6.4,3.6,,5,5,,02/07/2022
3361,4.5,2.1,,4,1,,02/07/2022
4436,5.3,2.3,,5,5,,02/07/2022
3189,9.5,3.7,9,,0,,02/07/2022
3565,16,3.2,13,,9,,02/07/2022
3994,20,4.4,15,,0,,02/07/2022
3533,7,4.1,7,,0,,02/07/2022
3348,3.5,2,,3,1,,02/07/2022
3359,4.5,2,,4,2,,02/07/2022
4015,15,3.9,7,,0,,02/07/2022
3581,11,6.4,15,,0,,02/07/2022
4145,15.5,4.2,13,,0,,02/07/2022
4212,4.5,2.6,,5,4,,02/07/2022
3158,10,4.2,9,,0,,02/07/2022
4020,7.3,3.6,14,,4.5,,02/07/2022
3369,3.5,2.1,,2,1.5,,02/07/2022
3740,6.2,2.4,,5,0,,02/07/2022
3609,24,4.9,16,,0,,02/07/2022
3606,15,5.9,12,,0,,02/07/2022
4062,22.3,5,19,,0,,02/07/2022
3148,24.5,5,9,,0,,02/07/2022
3897,4.5,2.7,,5,4,,02/07/2022
3378,5.2,2,,4,0,,02/07/2022
3133,12,3.6,9,,0,dead,02/07/2022
4143,10.8,2.7,10,,0,,02/07/2022
4122,13,4.4,9,,0,,02/07/2022
3737,6,2.2,,4,2,,02/07/2022
3130,8.5,5.4,11,,0,,02/07/2022
3016,6,6,9,,0,,02/07/2022
3535,9,3,13,,0,,02/07/2022
3167,17.8,4.3,12,,0,,02/07/2022
3900,3.6,2.4,,5,4,,02/07/2022
3434,4.5,2,,4,1,,02/07/2022
4424,4.2,1.7,,1,2,,02/07/2022
3998,6.5,2.1,15,,4.5,,02/07/2022
3746,6.5,2.5,,5,5,,02/07/2022
3623,9.6,3.8,10,,0,,02/07/2022
