seedling_id,colonization_numerator,colonization_denominator,plate,column,A,B,C,D,E,F,G,H,tip_notes,puller
4173,11,271,219026,2,B,B,B,B,NA,NA,NA,NA,,hvm
3608,61,186,219026,3,L,A,C,EQ,N,D,D,LQ,,hvm
3548,49,143,219026,4,D,D,D,B,D,B,B,B,,hvm
4022,78,174,219026,5,L,EQ,D,D,D,D,L,D,,hvm
3641,59,225,219026,6,D,A,L,D,B,L,A,A,,hvm
3652,156,245,219026,7,L,L,L,L,L,E,D,N,,hvm
3604,59,183,219026,8,N,N,N,A,D,L,D,L,,hvm
4244,5,133,219026,9,G,G,F,F,NA,NA,NA,NA,,gcr
4234,50,187,219026,10,G,G,G,G,G,G,G,G,,gcr
4202,41,148,219026,11,J,J,G,G,G,G,G,G,,gcr
4377,54,189,219026,12,G,G,G,G,G,G,G,J,,gcr
3659,154,261,219026,1,A,A,D,D,N,N,A,N,,hvm
4201,34,141,219027,1,G,G,G,G,G,G,G,G,,gcr
3886,0,87,219027,2,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3875,47,99,219027,3,M,G,G,G,G,G,G,G,,gcr
3909,24,104,219027,4,M,M,F,F,F,G,G,G,,gcr
3866,74,152,219027,5,G,F,G,G,G,G,G,G,,gcr
3870,65,108,219027,6,G,G,G,G,G,G,G,G,,gcr
3892,82,114,219027,7,M,G,G,G,G,G,G,G,,gcr
3910,50,127,219027,8,G,G,G,G,G,G,G,GQ,,gcr
3811,71,134,219027,9,G,G,G,G,G,G,G,G,,gcr
3765,19,74,219027,10,G,G,G,G,G,F,G,G,,gcr
3864,0,71,219027,11,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3322,0,123,219028,1,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3311,0,126,219028,2,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3318,0,138,219028,3,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3319,0,146,219028,4,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3314,0,177,219028,5,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3290,0,155,219028,6,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3309,0,152,219028,7,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3293,0,147,219028,8,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3303,0,139,219028,9,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3300,0,116,219028,10,Q,Q,Q,Q,Q,Q,Q,Q,,gcr
3255,0,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,hvm
3918,NA,NA,NA,11,K,G,G,G,G,G,G,G,,hvm
