seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,branching,notes,date
3484,10.5,4.4,14,,1,,2/7/22
3497,7.5,3.6,9,,0,,2/7/22
4249,4.8,2,,2,2.3,,2/7/22
3124,11.5,6.3,8,,0,,2/7/22
4060,8,5,17,,7.5,,2/7/22
3498,7.5,3.2,11,,4,,2/7/22
3835,4.6,2.5,,3,4,,2/7/22
3735,5.5,2.4,,5,2.5,,2/7/22
3748,6,2.4,,5,3,,2/7/22
3738,5,2.2,,4,3.2,,2/7/22
3252,5.2,2.3,,3,1.5,,2/7/22
3475,5,2,,3,1,,2/7/22
3873,6,2.2,,4,4,,2/7/22
4035,8.6,4,8,,0,,2/7/22
4321,6.4,2.7,,5,1,,2/7/22
4095,6.8,4.4,11,,1,,2/7/22
3519,9,4.5,6,,0,,2/7/22
4218,6,2.5,,5,1,,2/7/22
3723,3.8,1.5,,4,2.5,,2/7/22
3250,4,2.8,,2,0,,2/7/22
3438,3.5,1.7,,2,0,,2/7/22
3898,4.5,2.4,,4,1.5,,2/7/22
3339,3.6,1.6,,3,1.5,,2/7/22
3556,10,5.2,12,,0.7,,2/7/22
3893,4.5,2.3,,5,4,,2/7/22
4277,3.8,2,,5,3,,2/7/22
3901,4.5,1.8,,4,1.5,,2/7/22
3860,6.3,2.8,,5,5,,2/7/22
3999,9,4.3,18,,3,,2/7/22
3440,4,2.7,,4,3,,2/7/22
3854,6.4,3.6,,5,5,,2/7/22
3361,4.5,2.1,,4,1,,2/7/22
4436,5.3,2.3,,5,5,,2/7/22
3189,9.5,3.7,9,,0,,2/7/22
3565,16,3.2,13,,9,,2/7/22
3994,20,4.4,15,,0,,2/7/22
3533,7,4.1,7,,0,,2/7/22
3348,3.5,2,,3,1,,2/7/22
3359,4.5,2,,4,2,,2/7/22
4015,15,3.9,7,,0,,2/7/22
3581,11,6.4,15,,0,,2/7/22
4145,15.5,4.2,13,,0,,2/7/22
4212,4.5,2.6,,5,4,,2/7/22
3158,10,4.2,9,,0,,2/7/22
4020,7.3,3.6,14,,4.5,,2/7/22
3369,3.5,2.1,,2,1.5,,2/7/22
3740,6.2,2.4,,5,0,,2/7/22
3609,24,4.9,16,,0,,2/7/22
3606,15,5.9,12,,0,,2/7/22
4062,22.3,5,19,,0,,2/7/22
3148,24.5,5,9,,0,,2/7/22
3897,4.5,2.7,,5,4,,2/7/22
3378,5.2,2,,4,0,,2/7/22
3133,12,3.6,9,,0,dead,2/7/22
4143,10.8,2.7,10,,0,,2/7/22
4122,13,4.4,9,,0,,2/7/22
3737,6,2.2,,4,2,,2/7/22
3130,8.5,5.4,11,,0,,2/7/22
3016,6,6,9,,0,,2/7/22
3535,9,3,13,,0,,2/7/22
3167,17.8,4.3,12,,0,,2/7/22
3900,3.6,2.4,,5,4,,2/7/22
3434,4.5,2,,4,1,,2/7/22
4424,4.2,1.7,,1,2,,2/7/22
3998,6.5,2.1,15,,4.5,,2/7/22
3746,6.5,2.5,,5,5,,2/7/22
3623,9.6,3.8,10,,0,,2/7/22
