seedling_id,height_cm,diameter_mm,leaf_count,chlorosis,add_height,notes,date
3433,3.2,2.1,,1,0.5,,4/20/2022
4256,4.5,2.7,,1,5,,4/20/2022
3991,14.3,4.3,39,,5,,4/20/2022
3502,8.9,6,12,,1,,4/20/2022
3780,6.8,3,,3,4,,4/20/2022
4086,11.2,4.6,13,,1.5,,4/20/2022
4209,5.5,3,,3,9,,4/20/2022
3385,9.2,3.1,,5,8.5,,4/20/2022
3793,10.5,3.1,,5,5.5,,4/20/2022
4353,6.7,2.5,,5,14,,4/20/2022
4387,6.2,2.1,,4,7.5,,4/20/2022
3258,4.4,3,,1,1,,4/20/2022
3751,5.6,2.2,,5,7,,4/20/2022
3148,24.9,4.2,9,,2,,4/20/2022
4062,21.3,5.3,19,,0,,4/20/2022
3803,9.1,2.8,,5,16,,4/20/2022
4242,11.1,2.8,,5,11.5,,4/20/2022
4083,7.9,6.6,5,,0,,4/13/2022
3110,9.7,7.2,13,,6,,4/13/2022
3482,6.1,2.8,6,,0,,4/13/2022
4158,5.1,3.6,5,,0,,4/13/2022
4152,8.3,2.1,18,,8,,4/13/2022
3563,5,3.1,7,,0,,4/13/2022
3605,10.4,3.5,14,,0,,4/13/2022
4037,6.1,3.5,21,,6,,4/13/2022
3552,11.6,4.7,19,,1,,4/13/2022
4070,5.2,3.7,5,,0,,4/13/2022
3964,8.5,3.3,9,,0,,4/13/2022
3936,8.2,2.1,,5,14.5,,4/13/2022
3505,11.2,3.8,9,,0,,4/13/2022
3496,11.6,4.7,6,,1,,4/13/2022
4305,8.8,1.8,,5,4.5,,4/13/2022
4310,8.7,1.9,,4,9.5,,4/13/2022
3965,10.9,4.5,12,,2,,4/13/2022
3774,10.5,2.4,,5,10,,4/13/2022
3012,8.1,5.3,8,,0,,4/13/2022
4165,8.1,4.5,10,,0.5,,4/13/2022
3545,14.6,4.9,10,,0,,4/13/2022
3184,4.6,4.5,6,,0,,4/13/2022
4246,7.5,2.7,,4,5,,4/13/2022
3711,24.2,5.9,8,,0,,4/13/2022
4266,9.1,2.4,,5,27,,4/13/2022
4398,11.8,2.8,,5,39,,4/13/2022
3696,13.6,5.7,9,,0,,4/13/2022
3963,2.8,2.7,4,,0.5,Leaf count date taken: 4/26/2022,4/13/2022
3876,6.9,2.6,,4,14,,4/13/2022
3586,25.7,5.5,15,,1,,4/13/2022
3974,10,3.6,18,,10.5,,4/13/2022
3001,10.7,4.3,20,,3,,4/13/2022
4286,7.9,2.1,,5,8.5,,4/13/2022
3997,11.6,4,25,,4,,4/13/2022
4361,5.8,2,,4,9,,4/13/2022
3847,4.1,1.9,,3,2,,4/13/2022
4261,6.4,2.1,,4,3,,4/13/2022
3954,5.1,1.8,,1,2,,4/13/2022
3387,7.5,1.9,,5,1,,4/13/2022
4307,9.5,2.4,,5,10.5,,4/13/2022
3796,9.4,2.4,,5,7,,4/13/2022
3683,14.6,6.9,11,,2,,4/13/2022
4117,9,7.3,28,,3.5,,4/13/2022
3843,11.3,3,,5,14,,4/13/2022
3921,7.6,2.4,,4,11,,4/13/2022
3972,8.3,4.2,22,,3.5,,4/13/2022
3760,10.2,2.3,,4,8.5,,4/13/2022
4026,8.8,2.8,13,,2.5,,4/13/2022
3240,6.3,3.8,7,,0,,4/13/2022
3067,9.1,3.7,21,,8.5,,4/13/2022
4149,9.3,5.1,10,,0,,4/13/2022
4030,6.8,4.2,9,,5,,4/13/2022
3275,7.3,3,,4,8.5,,4/13/2022
3801,8.9,2,,5,10.5,,4/13/2022
3938,8.5,3,,5,22,,4/13/2022
3896,6.6,2.1,,3,2,,4/13/2022
3782,9.2,3,,5,18,,4/13/2022
3628,7.2,2.9,15,,3.5,,4/13/2022
4371,8.4,2.3,,4,5,,4/13/2022
3744,7.6,2.7,,4,9,,4/13/2022
4235,5.5,2.5,,3,3,,4/13/2022
4054,11.2,6.3,12,,0,,4/13/2022
3567,6.5,4,10,,0,,4/13/2022
3917,3.6,2.1,,2,2,,4/13/2022
3349,3.6,2.1,,1,1,,4/13/2022
3891,4.5,1.8,,5,7,,4/13/2022
3011,9.8,4.9,9,,4,,4/27/2022
3027,8,4.5,10,,0,,4/27/2022
3415,3.2,2.1,,1,0.5,,4/27/2022
3862,5,2.6,,5,4,,4/27/2022
3539,8.4,6,9,,5,,4/27/2022
3918,6,3.1,,5,8,,4/27/2022
3855,10.3,3.8,,4,15,,4/27/2022
4001,10.8,6.5,22,,4.5,,4/27/2022
3513,7,2.7,13,,7,,4/27/2022
3812,6.7,3.2,,3,5,,4/27/2022
4011,8.1,5.3,29,,10,,4/27/2022
